Sn-Pb (id : 1306),温度 [℃] (id : 6595)
Bi-Pb合金の粘性と状態図の関係 (id : 1988),粘性係数 [cP] (id : 11097)
Bi-Pb合金の粘性と状態図の関係 (id : 1988),温度 [℃] (id : 6595)
Cu2S-PbS, FeS-PbS系の活量 (1200℃) (id : 364),α (id : 7021)
Pb-K (b) (id : 1279),温度 [℃] (id : 6595)
Sn [mol%] (id : 6539),Pb-Sn系の400℃での粘度 (id : 131)
Fe2O3-PbO (id : 1331),温度 [℃] (id : 6595)
Cu-Pb (id : 1158),温度 [℃] (id : 6595)
mol % (id : 8878),Fe2O3-PbO (id : 1331)
mol % (id : 8878),PbO-SnO2 (id : 1335)
Pb-In (id : 1277),温度 [℃] (id : 6595)
Ni-Pb (id : 1196),温度 [℃] (id : 6595)
Pb二元系状態図 (id : 1273),温度 [℃] (id : 6595)
Pb（Mg~1/3~Nb~2/3~）O~3~（PMN）の各周波数における誘電率とtanδの温度特性 (id : 789),ε' (id : 8474)
Pb（Mg~1/3~Nb~2/3~）O~3~（PMN）の各周波数における誘電率とtanδの温度特性 (id : 789),ε" (id : 8474)
Pb-Cd (id : 1272),温度 [℃] (id : 6595)
Pb-Na (id : 1282),温度 [℃] (id : 6595)
Pb-S (id : 1285),温度 [℃] (id : 6595)
Sb [%] (id : 11093),Pb-Sb合金の状態図と流動長の関係 (id : 1993)
Mg-Pb (id : 1257),温度 [℃] (id : 6595)
Pb二元系状態図 (id : 1281),温度 [℃] (id : 6595)
Pb-Ga (id : 1274),温度 [℃] (id : 6595)
Pb (id : 979),温度 [K] (id : 6344)
Pb-Sb合金の状態図と流動長の関係 (id : 1993),流動長 [cm] (id : 11098)
Pb-Sb合金の状態図と流動長の関係 (id : 1993),温度 [℃] (id : 6595)
PbO-SiO2系のSiO2とPbOの活量およびZnO-SiO2系のSiO2とZnOの活量 (id : 334),αi (id : 6639)
Pb二元系状態図 (id : 1268),温度 [℃] (id : 6595)
Pb二元系状態図 (id : 1272),温度 [℃] (id : 6595)
Pb-Ge (id : 1275),温度 [℃] (id : 6595)
Pb-U (id : 1290),温度 [℃] (id : 6595)
Pb-Sn系の400℃での粘度 (id : 131),粘度 [mPa・s] (id : 6535)
Pb-Ag (id : 1266),温度 [℃] (id : 6595)
時間 [h] (id : 7395),4%Alのダイカスト合金の長さ変化に及ぼすPb量の影響 (id : 2245)
Pb-Se (id : 1287),温度 [℃] (id : 6595)
温度 (id : 6255),Pb（Mg~1/3~Nb~2/3~）O~3~（PMN）の各周波数における誘電率とtanδの温度特性 (id : 789)
温度 (id : 6255),Pb（Mg1/3Nb2/3）O3（PMN）の各周波数における誘電率とtanδの温度特性 (id : 789)
Ag-Pb系溶融合金の密度 (id : 108),密度 [Mg/m3] (id : 6513)
Pb-Hg (id : 1276),温度 [℃] (id : 6595)
Pb-La (id : 1280),温度 [℃] (id : 6595)
Pb二元系状態図 (id : 1271),温度 [℃] (id : 6595)
Pb-Bi (id : 1270),温度 [℃] (id : 6595)
Pb二元系状態図 (id : 1282),温度 [℃] (id : 6595)
圧力 kb (id : 8651),Pb (id : 979)
Pb二元系状態図 (id : 1286),温度 [℃] (id : 6595)
Pb-X系 (id : 193),α Pb, α X (id : 6632)
Pb二元系状態図 (id : 1291),温度 [℃] (id : 6595)
mass% (id : 8812),Pb二元系状態図 (id : 1275)
mass% (id : 8812),Sn-Pb (id : 1306)
mass% (id : 8812),Pb-Te (id : 1289)
mass% (id : 8812),Pb-Pt (id : 1284)
mass% (id : 8812),Pb-K (b) (id : 1279)
mass% (id : 8812),Pb-Ca (id : 1271)
mass% (id : 8812),Cu-Pb (id : 1158)
mass% (id : 8812),Pb-S (id : 1285)
mass% (id : 8812),Pb-In (id : 1277)
mass% (id : 8812),Ni-Pb (id : 1196)
mass% (id : 8812),Pb-Li (id : 1281)
mass% (id : 8812),Pb-Zn (id : 1291)
mass% (id : 8812),Pb二元系状態図 (id : 1273)
mass% (id : 8812),Pb二元系状態図 (id : 1288)
mass% (id : 8812),Pb-As (id : 1267)
mass% (id : 8812),Pb-Ba (id : 1269)
mass% (id : 8812),Pb二元系状態図 (id : 1278)
mass% (id : 8812),Pb二元系状態図 (id : 1267)
mass% (id : 8812),Pb-Cd (id : 1272)
mass% (id : 8812),Pb-Na (id : 1282)
mass% (id : 8812),Pb二元系状態図 (id : 1285)
mass% (id : 8812),Pb二元系状態図 (id : 1289)
mass% (id : 8812),Mg-Pb (id : 1257)
mass% (id : 8812),Pb二元系状態図 (id : 1281)
mass% (id : 8812),Pb二元系状態図 (id : 1290)
mass% (id : 8812),Pb二元系状態図 (id : 1266)
mass% (id : 8812),Pb二元系状態図 (id : 1274)
mass% (id : 8812),Pb二元系状態図 (id : 1270)
mass% (id : 8812),Pb-La (id : 1280)
mass% (id : 8812),Pb-Si (id : 1288)
mass% (id : 8812),Pb二元系状態図 (id : 1268)
mass% (id : 8812),Pb二元系状態図 (id : 1287)
mass% (id : 8812),Pb二元系状態図 (id : 1279)
mass% (id : 8812),Pb二元系状態図 (id : 1280)
mass% (id : 8812),Pb-Pd (id : 1283)
mass% (id : 8812),Pb二元系状態図 (id : 1272)
mass% (id : 8812),Pb二元系状態図 (id : 1291)
mass% (id : 8812),Pb二元系状態図 (id : 1282)
mass% (id : 8812),Pb-U (id : 1290)
mass% (id : 8812),Pb-Au (id : 1268)
mass% (id : 8812),Pb二元系状態図 (id : 1277)
mass% (id : 8812),Pb-Se (id : 1287)
mass% (id : 8812),Pb二元系状態図 (id : 1284)
mass% (id : 8812),Pb-Hg (id : 1276)
mass% (id : 8812),Pb二元系状態図 (id : 1269)
mass% (id : 8812),Pb二元系状態図 (id : 1271)
mass% (id : 8812),Pb-Ge (id : 1275)
mass% (id : 8812),PbO-SiO2 (id : 1336)
mass% (id : 8812),Pb-Bi (id : 1270)
mass% (id : 8812),Pb二元系状態図 (id : 1276)
mass% (id : 8812),Pb二元系状態図 (id : 1283)
mass% (id : 8812),Pb二元系状態図 (id : 1286)
mass% (id : 8812),Al-Pb (id : 1117)
mass% (id : 8812),Pb-K (a) (id : 1278)
mass% (id : 8812),Pb-Ag (id : 1266)
mass% (id : 8812),Pb-Ga (id : 1274)
mass% (id : 8812),Pb-Ce (id : 1273)
mass% (id : 8812),Pb-Sb (id : 1286)
Pb [%] (id : 11092),Bi-Pb合金の粘性と状態図の関係 (id : 1988)
Pb-Sb (id : 1286),温度 [℃] (id : 6595)
Pb二元系状態図 (id : 1275),温度 [℃] (id : 6595)
T/K (id : 6255),Pb（Mg~1/3~Nb~2/3~）O~3~（PMN）の各周波数における誘電率とtanδの温度特性 (id : 789)
T/K (id : 6255),Pb（Mg1/3Nb2/3）O3（PMN）の各周波数における誘電率とtanδの温度特性 (id : 789)
4%Alのダイカスト合金の長さ変化に及ぼすPb量の影響 (id : 2245),長さ変化/% (id : 12004)
Pb-Ca (id : 1271),温度 [℃] (id : 6595)
*T*/K (id : 6255),Pb（Mg~1/3~Nb~2/3~）O~3~（PMN）の各周波数における誘電率とtanδの温度特性 (id : 789)
*T*/K (id : 6255),Pb（Mg1/3Nb2/3）O3（PMN）の各周波数における誘電率とtanδの温度特性 (id : 789)
Pb二元系状態図 (id : 1270),温度 [℃] (id : 6595)
Pb-Zn (id : 1291),温度 [℃] (id : 6595)
Pb（Mg1/3Nb2/3）O3（PMN）の各周波数における誘電率とtanδの温度特性 (id : 789),ε' (id : 8474)
Pb（Mg1/3Nb2/3）O3（PMN）の各周波数における誘電率とtanδの温度特性 (id : 789),ε" (id : 8474)
Al-Pb (id : 1117),温度 [℃] (id : 6595)
Pb二元系状態図 (id : 1288),温度 [℃] (id : 6595)
Pb-Ce (id : 1273),温度 [℃] (id : 6595)
Pb二元系状態図 (id : 1278),温度 [℃] (id : 6595)
Pb二元系状態図 (id : 1267),温度 [℃] (id : 6595)
NX (id : 6620),Pb-X系 (id : 193)
Pb二元系状態図 (id : 1285),温度 [℃] (id : 6595)
Pb二元系状態図 (id : 1289),温度 [℃] (id : 6595)
pH (id : 8216),Pb-H2O系 (id : 705)
Pb二元系状態図 (id : 1290),温度 [℃] (id : 6595)
at% (id : 7379),Pb二元系状態図 (id : 1275)
at% (id : 7379),Sn-Pb (id : 1306)
at% (id : 7379),Pb-Pt (id : 1284)
at% (id : 7379),Pb-K (b) (id : 1279)
at% (id : 7379),Pb-Ca (id : 1271)
at% (id : 7379),Cu-Pb (id : 1158)
at% (id : 7379),Pb-S (id : 1285)
at% (id : 7379),Pb-In (id : 1277)
at% (id : 7379),Ni-Pb (id : 1196)
at% (id : 7379),Pb-Li (id : 1281)
at% (id : 7379),Pb-Zn (id : 1291)
at% (id : 7379),Pb二元系状態図 (id : 1273)
at% (id : 7379),Pb二元系状態図 (id : 1288)
at% (id : 7379),Pb-As (id : 1267)
at% (id : 7379),Pb-Ba (id : 1269)
at% (id : 7379),Pb二元系状態図 (id : 1278)
at% (id : 7379),Pb二元系状態図 (id : 1267)
at% (id : 7379),Pb-Cd (id : 1272)
at% (id : 7379),Pb-Na (id : 1282)
at% (id : 7379),Pb二元系状態図 (id : 1285)
at% (id : 7379),Pb二元系状態図 (id : 1289)
at% (id : 7379),Mg-Pb (id : 1257)
at% (id : 7379),Pb二元系状態図 (id : 1281)
at% (id : 7379),Pb二元系状態図 (id : 1290)
at% (id : 7379),Pb二元系状態図 (id : 1266)
at% (id : 7379),Pb二元系状態図 (id : 1274)
at% (id : 7379),Pb二元系状態図 (id : 1270)
at% (id : 7379),Pb二元系状態図 (id : 1291)
at% (id : 7379),Pb-Si (id : 1288)
at% (id : 7379),Pb二元系状態図 (id : 1268)
at% (id : 7379),Pb二元系状態図 (id : 1287)
at% (id : 7379),Pb二元系状態図 (id : 1279)
at% (id : 7379),Pb二元系状態図 (id : 1280)
at% (id : 7379),Pb-Pd (id : 1283)
at% (id : 7379),Pb二元系状態図 (id : 1272)
at% (id : 7379),Pb二元系状態図 (id : 1282)
at% (id : 7379),Pb-U (id : 1290)
at% (id : 7379),Pb-Au (id : 1268)
at% (id : 7379),Pb二元系状態図 (id : 1277)
at% (id : 7379),Pb-Se (id : 1287)
at% (id : 7379),Pb二元系状態図 (id : 1284)
at% (id : 7379),Pb-Hg (id : 1276)
at% (id : 7379),Pb-La (id : 1280)
at% (id : 7379),Pb二元系状態図 (id : 1271)
at% (id : 7379),Pb-Ge (id : 1275)
at% (id : 7379),Pb-Te (id : 1289)
at% (id : 7379),Pb-Bi (id : 1270)
at% (id : 7379),Pb二元系状態図 (id : 1276)
at% (id : 7379),Pb二元系状態図 (id : 1269)
at% (id : 7379),Pb二元系状態図 (id : 1283)
at% (id : 7379),Pb二元系状態図 (id : 1286)
at% (id : 7379),Al-Pb (id : 1117)
at% (id : 7379),Pb-K (a) (id : 1278)
at% (id : 7379),Pb-Ag (id : 1266)
at% (id : 7379),Pb-Ga (id : 1274)
at% (id : 7379),Pb-Ce (id : 1273)
at% (id : 7379),Pb-Sb (id : 1286)
Pb二元系状態図 (id : 1266),温度 [℃] (id : 6595)
Pb二元系状態図 (id : 1274),温度 [℃] (id : 6595)
Pb-H2O系 (id : 705),E [V] (id : 8217)
Sn [wt%] (id : 10672),Pbの300℃における粒界移動速度 (id : 1850)
Pb [mass%%] (id : 6515),Ag-Pb系溶融合金の密度 (id : 108)
Pb-Si (id : 1288),温度 [℃] (id : 6595)
Pb-Li (id : 1281),温度 [℃] (id : 6595)
Pb二元系状態図 (id : 1279),温度 [℃] (id : 6595)
Pb二元系状態図 (id : 1280),温度 [℃] (id : 6595)
Pb-Pd (id : 1283),温度 [℃] (id : 6595)
Pb二元系状態図 (id : 1276),温度 [℃] (id : 6595)
Pb-Au (id : 1268),温度 [℃] (id : 6595)
Pb二元系状態図 (id : 1277),温度 [℃] (id : 6595)
PbO-SnO2 (id : 1335),温度 [℃] (id : 6595)
Pb二元系状態図 (id : 1284),温度 [℃] (id : 6595)
N PbS (id : 7028),Cu2S-PbS, FeS-PbS系の活量 (1200℃) (id : 364)
Pb-As (id : 1267),温度 [℃] (id : 6595)
Pb二元系状態図 (id : 1269),温度 [℃] (id : 6595)
Pb二元系状態図 (id : 1287),温度 [℃] (id : 6595)
PbO-SiO2 (id : 1336),温度 [℃] (id : 6595)
Pb-Te (id : 1289),温度 [℃] (id : 6595)
Pbの300℃における粒界移動速度 (id : 1850),粒界移動速度 [mm/min] (id : 10666)
Pb二元系状態図 (id : 1283),温度 [℃] (id : 6595)
SiO2 [mass%] (id : 6567),PbO-SiO2系のSiO2とPbOの活量およびZnO-SiO2系のSiO2とZnOの活量 (id : 334)
Pb-K (a) (id : 1278),温度 [℃] (id : 6595)
Pb-Ba (id : 1269),温度 [℃] (id : 6595)
Pb-Pt (id : 1284),温度 [℃] (id : 6595)
